,surface_points,surface_disp_step1,surface_disp_step2,surface_disp_step3,surface_disp_step4,surface_disp_step5,surface_disp_step6,surface_disp_step7,surface_disp_step8,surface_disp_step9,surface_disp_step10
0,0.069921875,-173.06379905932516,-305.67225569851956,-415.08446937866137,-505.3582097582727,-579.8412649356029,-641.2957684403156,-692.0006815662952,-733.8363227505545,-768.3541026293976,-796.8340583390091
1,0.06953125,-174.3809682580312,-308.00106997179364,-418.24847259860604,-509.21148757215184,-584.2633247031315,-646.1871566256643,-697.27932491815,-739.4344962912019,-774.2159234007636,-802.9134157363177
2,0.06914062500000001,-175.58971957693555,-310.1336308511454,-421.1427415304834,-512.7340473715383,-588.3041989387161,-650.6556440024287,-702.1006059200536,-744.5468468459303,-779.568420625324,-808.4640468415708
3,0.06875,-176.77211696966253,-312.22446125960806,-423.9836174292909,-516.1939531935205,-592.2749315282998,-655.0478883866787,-706.8406534409196,-749.5738737390677,-784.8322378656806,-813.9232417122804
4,0.068359375,-177.84489373225614,-314.11680286747156,-426.5516426354457,-519.3192867970174,-595.8600110159964,-659.012256151442,-711.1179423580228,-754.1093338872595,-789.5807007241756,-818.8474423727866
5,0.06796875000000001,-178.8906962441087,-315.9664257605191,-429.0650112569757,-522.38048640495,-599.3732947840576,-662.8985853767437,-715.3120866123608,-758.5574643853768,-794.238399740589,-823.6780589134908
6,0.067578125,-179.82584420120722,-317.61562996882583,-431.3028325374464,-525.1037740444234,-602.4970506192385,-666.3527195583911,-719.038786757771,-762.5090391653011,-798.3755046645213,-827.9682344345543
7,0.0671875,-180.73343935996706,-319.22119359511265,-433.48481888855184,-527.7615479602724,-605.5474692417991,-669.7271423177634,-722.6805620197946,-766.3714161037457,-802.4199053214259,-832.1628260313731
8,0.066796875,-181.52951657155432,-320.6247173355598,-435.3889854043223,-530.0785900443148,-608.2050841311257,-672.6657159984147,-725.8509260060475,-769.7330112115342,-805.939271775105,-835.8123597139634
9,0.06640625,-182.29750497447117,-321.98374620764145,-437.23622538566906,-532.3288407582528,-610.7879348953414,-675.5230302078594,-728.9347181584195,-773.0036805071138,-809.364139487719,-839.3644603445307
10,0.066015625,-182.95328375576747,-323.13942492001615,-438.80380034420614,-534.2360635783957,-612.9753097051854,-677.9415107665441,-731.5438557148556,-775.7701105876395,-812.2603386500716,-842.3677224898399
11,0.065625,-183.58048125261814,-324.24982367468175,-440.31344599581547,-536.075321937278,-615.0866108409779,-680.277311675066,-734.0649110007895,-778.4440305203424,-815.0603941031229,-845.2718568025015
12,0.06523437500000001,-184.094950530653,-325.15587543442365,-441.5420122393843,-537.5697844602635,-616.8003723819792,-682.1719693899322,-736.1087982495228,-780.6110289981913,-817.3289591556588,-847.6242153760427
13,0.06484375,-184.58039026789407,-326.015932435728,-442.7117366313939,-538.995215620694,-618.4368698910824,-683.9826571306997,-738.0632314192188,-782.6840788481408,-819.499887344453,-849.8759080636562
14,0.064453125,-184.95275655806435,-326.6709597083829,-443.59939903197017,-540.0746124128635,-619.674374280772,-685.3505689045223,-739.5387149016979,-784.2483022040225,-821.1373179553281,-851.573733352022
15,0.06406250000000001,-185.29568996050295,-327.27934881848597,-444.4273986873223,-541.0840188039951,-620.8335453466589,-686.6333522745924,-740.923513298797,-785.7172865926033,-822.6757727381641,-853.1695138801508
16,0.063671875,-185.5253790425398,-327.68234138542374,-444.9727881021588,-541.7466848352115,-621.5928835119283,-687.4724077121494,-741.8283165262836,-786.6763213030546,-823.6795423216936,-854.2101860133458
17,0.06328125,-185.7252775034498,-328.0381249232336,-445.45778700448545,-542.3385110306729,-622.272942083467,-688.2253103425884,-742.6413467404967,-787.5389772419995,-824.5831537950231,-855.1475962629651
18,0.062890625,-185.8119352261528,-328.1884613021802,-445.66006220366063,-542.583424019767,-622.5529424510215,-688.5342147263485,-742.9740734052916,-787.8913431851646,-824.9517130784285,-855.5295089142784
19,0.0625,-185.86849063730236,-328.2910910036397,-445.8013131125392,-542.7567583475025,-622.7528410960635,-688.7560771372939,-743.2140834942311,-788.1463424369061,-825.2190900518522,-855.8071057522985
20,0.062109375,-185.81198315427002,-328.18853887742824,-445.6601613654553,-542.5835394789917,-622.5530704171082,-688.5343523419479,-742.9742184589695,-787.8914939440356,-824.9518681788131,-855.5296672853309
21,0.06171875,-185.72510836006495,-328.0378567055135,-445.4574469227694,-542.3381153719374,-622.2725018753558,-688.2248336633235,-742.6408398077078,-787.5384449957415,-824.5826002442833,-855.1470247122911
22,0.061328125000000004,-185.52552279783686,-327.68257406771767,-444.973085536823,-541.7470311577961,-621.5932673528523,-687.4728205009033,-741.8287516292601,-786.6767735217836,-823.6800075655269,-854.2106610696735
23,0.060937500000000006,-185.29535191401303,-327.2788127703132,-444.4267190222141,-541.0832280730691,-620.8326655895072,-686.6323996356963,-740.9225002034095,-785.7162229122816,-822.6746664841348,-853.1683716555018
24,0.060546875,-184.95299582664197,-326.6713469804626,-443.59989406620645,-540.0751888031735,-619.6750131040814,-685.3512558968454,-739.5394390227001,-784.2490548017306,-821.1380922217467,-851.5745239403976
25,0.06015625,-184.57988376213433,-326.0151292691444,-442.7107182946743,-538.9940308882316,-618.4355517859694,-683.9812298416555,-738.0617135613667,-782.6824852096536,-819.4982299263773,-849.874196757075
26,0.059765625,-184.09528493687014,-325.1564166854692,-441.5427040881193,-537.5705899996126,-616.8012651651633,-682.172929481737,-736.1098102200165,-780.6120807548695,-817.3300411833335,-847.625320201505
27,0.059375000000000004,-183.57980716631894,-324.2487548205624,-440.31209084139346,-536.0737453969845,-615.0848568602631,-680.2754124383828,-734.0628912740475,-778.4419099757907,-815.0581887043406,-845.2695797056438
28,0.058984375000000006,-182.95371268990633,-323.14011915144204,-438.80468771429724,-534.2370967452944,-612.9764547470652,-677.9427421135343,-731.5451535762323,-775.7714594528255,-812.2617263139108,-842.3691393662723
29,0.05859375,-182.2966641571445,-321.98241302444734,-437.2345351470565,-532.3268744411607,-610.7857473133495,-675.5206614990021,-728.9321992057356,-773.0010358390456,-809.3613890065537,-839.361620451414
30,0.058203125,-181.53003944929722,-320.6255636036319,-435.3900670886848,-530.0798494319763,-608.2064798702926,-672.6672169176073,-725.8525079785708,-769.734655327718,-805.9409631539975,-835.8140866674358
31,0.0578125,-180.73243352895815,-319.2195988987723,-433.4827972320357,-527.7591962171407,-605.5448529692239,-669.7243095083844,-722.677549592671,-766.3682533767116,-802.4166160795121,-832.159429874003
32,0.057421875000000004,-179.82646044418595,-317.61662735141493,-431.3041073705099,-525.1052583072766,-602.4986955734266,-666.3544884618582,-719.0406511699573,-762.5109767940434,-798.3774979650004,-827.9702696254019
33,0.057031250000000006,-178.88952704577818,-315.9645722243501,-429.06266163595615,-522.3777533132824,-599.3702544086673,-662.8952934757654,-715.3085860676475,-758.5537892439219,-794.2345776195641,-823.6741125682216
34,0.056640625,-177.84560236737258,-314.1179497809203,-426.55310857755677,-519.3209935446996,-595.8619025203459,-659.0142901573174,-711.120086154297,-754.1115618329296,-789.5829926363468,-818.8497823969061
35,0.05625,-176.77078628147837,-312.22235192921335,-423.9809437762279,-516.1908433955066,-592.2714722730115,-655.0441430968796,-706.8366708787225,-749.5696926124867,-784.8278895667925,-813.9187521043517
36,0.055859375,-175.59051954993532,-310.1349255841166,-421.14439638449136,-512.7359740356143,-588.3063341358107,-650.657940025972,-702.1030258348313,-744.5493616977185,-779.5710076204078,-808.4666880731844
37,0.055468750000000004,-174.37947822697797,-307.9987083300549,-418.24547941209903,-509.20800637938004,-584.2594525447952,-646.1829644736924,-697.2748673206873,-739.4298165390758,-774.211056595551,-802.9083907941933
38,0.055078125000000006,-173.06468916156007,-305.6736962867193,-415.08631062063824,-505.36035338681364,-579.8436405401823,-641.2983229336056,-692.0033738428165,-733.8391205840591,-768.356980646771,-796.8369966056106
39,0.0546875,-171.71929008480038,-303.30015394841575,-411.865112178149,-501.4400092555066,-575.3465491391238,-636.3254208628548,-686.6379189633543,-728.1497959396155,-762.4004490546635,-790.6600057783323
